method	histone_mark	cell_class	cell_type	full_title	transition	metric	value
src_only	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	mm10.hg38	roc_auc	0.8552200000000001
adda	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	hg38.mm10	accuracy	0.7269100000000001
afn	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	hg38.mm10	accuracy	0.75036
cdan	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	hg38.mm10	accuracy	0.7666299999999999
dan	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	hg38.mm10	accuracy	0.7837900000000001
dann	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	hg38.mm10	accuracy	0.7468899999999999
jan	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	hg38.mm10	accuracy	0.76495
mcc	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	hg38.mm10	accuracy	0.81134
mcd	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	hg38.mm10	accuracy	0.7823699999999999
mdd	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	hg38.mm10	accuracy	0.76626
src_only	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	hg38.mm10	accuracy	0.77461
adda	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	hg38.mm10	pr_auc	0.81152
afn	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	hg38.mm10	pr_auc	0.86358
cdan	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	hg38.mm10	pr_auc	0.81806
dan	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	hg38.mm10	pr_auc	0.8830500000000001
dann	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	hg38.mm10	pr_auc	0.78751
jan	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	hg38.mm10	pr_auc	0.8478
mcc	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	hg38.mm10	pr_auc	0.9070199999999999
mcd	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	hg38.mm10	pr_auc	0.88059
mdd	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	hg38.mm10	pr_auc	0.86942
src_only	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	hg38.mm10	pr_auc	0.8829
adda	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	hg38.mm10	roc_auc	0.79723
afn	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	hg38.mm10	roc_auc	0.8475100000000001
cdan	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	hg38.mm10	roc_auc	0.85868
dan	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	hg38.mm10	roc_auc	0.8779
dann	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	hg38.mm10	roc_auc	0.8402200000000001
jan	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	hg38.mm10	roc_auc	0.8595900000000001
mcc	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	hg38.mm10	roc_auc	0.90267
mcd	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	hg38.mm10	roc_auc	0.87359
mdd	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	hg38.mm10	roc_auc	0.85988
src_only	H3K27ac	Pancreas	Pancreatic_ductal_adenocarcinoma	<b>H3K27ac</b>: Pancreas - Pancreatic_ductal_adenocarcinoma	hg38.mm10	roc_auc	0.87554
