method,transition,metric,variable,value
mcc,mm10->hg38,pr_auc,better_count,37
mcc,mm10->hg38,roc_auc,better_count,39
mcc,mm10->dm6,accuracy,better_count,3
mcc,mm10->dm6,pr_auc,better_count,3
mcc,mm10->dm6,roc_auc,better_count,3
mcd,dm6->mm10,accuracy,better_count,1
mcd,dm6->mm10,pr_auc,better_count,1
mcd,dm6->mm10,roc_auc,better_count,2
mcd,hg38->mm10,accuracy,better_count,22
mcd,hg38->mm10,pr_auc,better_count,17
mcd,hg38->mm10,roc_auc,better_count,19
mcd,hg38->dm6,accuracy,better_count,0
mcd,hg38->dm6,pr_auc,better_count,0
mcd,hg38->dm6,roc_auc,better_count,1
mcd,dm6->hg38,accuracy,better_count,1
mcd,dm6->hg38,pr_auc,better_count,1
mcd,dm6->hg38,roc_auc,better_count,1
mcd,mm10->hg38,accuracy,better_count,7
mcd,mm10->hg38,pr_auc,better_count,3
mcd,mm10->hg38,roc_auc,better_count,5
mcd,mm10->dm6,accuracy,better_count,3
mcd,mm10->dm6,pr_auc,better_count,3
mcd,mm10->dm6,roc_auc,better_count,3
mdd,dm6->mm10,accuracy,better_count,0
mdd,dm6->mm10,pr_auc,better_count,0
mdd,dm6->mm10,roc_auc,better_count,0
mdd,hg38->mm10,accuracy,better_count,12
mdd,hg38->mm10,pr_auc,better_count,9
mdd,hg38->mm10,roc_auc,better_count,9
mdd,hg38->dm6,accuracy,better_count,1
mdd,hg38->dm6,pr_auc,better_count,3
mdd,hg38->dm6,roc_auc,better_count,1
mdd,dm6->hg38,accuracy,better_count,1
mdd,dm6->hg38,pr_auc,better_count,1
mdd,dm6->hg38,roc_auc,better_count,1
mdd,mm10->hg38,accuracy,better_count,3
mdd,mm10->hg38,pr_auc,better_count,1
mdd,mm10->hg38,roc_auc,better_count,2
mdd,mm10->dm6,accuracy,better_count,3
mdd,mm10->dm6,pr_auc,better_count,2
mdd,mm10->dm6,roc_auc,better_count,2
adda,mm10->ce11,accuracy,better_count,3
adda,mm10->ce11,pr_auc,better_count,2
adda,mm10->ce11,roc_auc,better_count,2
adda,hg38->ce11,accuracy,better_count,1
adda,hg38->ce11,pr_auc,better_count,1
adda,hg38->ce11,roc_auc,better_count,1
adda,ce11->hg38,accuracy,better_count,1
adda,ce11->hg38,pr_auc,better_count,1
adda,ce11->hg38,roc_auc,better_count,1
adda,ce11->mm10,accuracy,better_count,1
adda,ce11->mm10,pr_auc,better_count,0
adda,ce11->mm10,roc_auc,better_count,0
afn,mm10->ce11,accuracy,better_count,1
afn,mm10->ce11,pr_auc,better_count,2
afn,mm10->ce11,roc_auc,better_count,2
afn,hg38->ce11,accuracy,better_count,1
afn,hg38->ce11,pr_auc,better_count,2
afn,hg38->ce11,roc_auc,better_count,2
afn,ce11->hg38,accuracy,better_count,2
afn,ce11->hg38,pr_auc,better_count,1
afn,ce11->hg38,roc_auc,better_count,1
afn,ce11->mm10,accuracy,better_count,3
afn,ce11->mm10,pr_auc,better_count,3
afn,ce11->mm10,roc_auc,better_count,3
cdan,mm10->ce11,accuracy,better_count,2
cdan,mm10->ce11,pr_auc,better_count,2
cdan,mm10->ce11,roc_auc,better_count,3
cdan,hg38->ce11,accuracy,better_count,1
cdan,hg38->ce11,pr_auc,better_count,1
cdan,hg38->ce11,roc_auc,better_count,3
cdan,ce11->hg38,accuracy,better_count,2
cdan,ce11->hg38,pr_auc,better_count,2
cdan,ce11->hg38,roc_auc,better_count,3
cdan,ce11->mm10,accuracy,better_count,4
cdan,ce11->mm10,pr_auc,better_count,3
cdan,ce11->mm10,roc_auc,better_count,3
dan,mm10->ce11,accuracy,better_count,1
dan,mm10->ce11,pr_auc,better_count,0
dan,mm10->ce11,roc_auc,better_count,1
dan,hg38->ce11,accuracy,better_count,1
dan,hg38->ce11,pr_auc,better_count,0
dan,hg38->ce11,roc_auc,better_count,0
dan,ce11->hg38,accuracy,better_count,1
dan,ce11->hg38,pr_auc,better_count,0
dan,ce11->hg38,roc_auc,better_count,0
dan,ce11->mm10,accuracy,better_count,3
dan,ce11->mm10,pr_auc,better_count,2
dan,ce11->mm10,roc_auc,better_count,3
dann,mm10->ce11,accuracy,better_count,1
dann,mm10->ce11,pr_auc,better_count,0
dann,mm10->ce11,roc_auc,better_count,1
dann,hg38->ce11,accuracy,better_count,2
dann,hg38->ce11,pr_auc,better_count,0
dann,hg38->ce11,roc_auc,better_count,1
dann,ce11->hg38,accuracy,better_count,2
dann,ce11->hg38,pr_auc,better_count,2
dann,ce11->hg38,roc_auc,better_count,1
dann,ce11->mm10,accuracy,better_count,4
dann,ce11->mm10,pr_auc,better_count,3
dann,ce11->mm10,roc_auc,better_count,3
jan,mm10->ce11,accuracy,better_count,2
jan,mm10->ce11,pr_auc,better_count,1
jan,mm10->ce11,roc_auc,better_count,1
jan,hg38->ce11,accuracy,better_count,1
jan,hg38->ce11,pr_auc,better_count,0
jan,hg38->ce11,roc_auc,better_count,2
jan,ce11->hg38,accuracy,better_count,2
jan,ce11->hg38,pr_auc,better_count,2
jan,ce11->hg38,roc_auc,better_count,1
jan,ce11->mm10,accuracy,better_count,4
jan,ce11->mm10,pr_auc,better_count,4
jan,ce11->mm10,roc_auc,better_count,4
mcc,mm10->ce11,accuracy,better_count,2
mcc,mm10->ce11,pr_auc,better_count,1
mcc,mm10->ce11,roc_auc,better_count,1
mcc,hg38->ce11,accuracy,better_count,3
mcc,hg38->ce11,pr_auc,better_count,2
mcc,hg38->ce11,roc_auc,better_count,2
mcc,ce11->hg38,accuracy,better_count,2
mcc,ce11->hg38,pr_auc,better_count,2
mcc,ce11->hg38,roc_auc,better_count,1
mcc,ce11->mm10,accuracy,better_count,4
mcc,ce11->mm10,pr_auc,better_count,4
mcc,ce11->mm10,roc_auc,better_count,4
mcd,mm10->ce11,accuracy,better_count,0
mcd,mm10->ce11,pr_auc,better_count,1
mcd,mm10->ce11,roc_auc,better_count,1
mcd,hg38->ce11,accuracy,better_count,1
mcd,hg38->ce11,pr_auc,better_count,0
mcd,hg38->ce11,roc_auc,better_count,1
mcd,ce11->hg38,accuracy,better_count,2
