method,transition,metric,variable,value
mcd,ce11->mm10,roc_auc,worse_count,-3
mdd,mm10->ce11,accuracy,worse_count,-3
mdd,mm10->ce11,pr_auc,worse_count,-3
mdd,mm10->ce11,roc_auc,worse_count,-3
mdd,hg38->ce11,accuracy,worse_count,-4
mdd,hg38->ce11,pr_auc,worse_count,-4
mdd,hg38->ce11,roc_auc,worse_count,-2
mdd,ce11->hg38,accuracy,worse_count,-3
mdd,ce11->hg38,pr_auc,worse_count,-3
mdd,ce11->hg38,roc_auc,worse_count,-2
mdd,ce11->mm10,accuracy,worse_count,-2
mdd,ce11->mm10,pr_auc,worse_count,-1
mdd,ce11->mm10,roc_auc,worse_count,-1
adda,dm6->ce11,accuracy,worse_count,-1
adda,dm6->ce11,pr_auc,worse_count,-2
adda,dm6->ce11,roc_auc,worse_count,-1
adda,ce11->dm6,accuracy,worse_count,-1
adda,ce11->dm6,pr_auc,worse_count,-1
adda,ce11->dm6,roc_auc,worse_count,-1
afn,dm6->ce11,accuracy,worse_count,-2
afn,dm6->ce11,pr_auc,worse_count,-1
afn,dm6->ce11,roc_auc,worse_count,-1
afn,ce11->dm6,accuracy,worse_count,-1
afn,ce11->dm6,pr_auc,worse_count,0
afn,ce11->dm6,roc_auc,worse_count,0
cdan,dm6->ce11,accuracy,worse_count,-2
cdan,dm6->ce11,pr_auc,worse_count,-2
cdan,dm6->ce11,roc_auc,worse_count,-2
cdan,ce11->dm6,accuracy,worse_count,-1
cdan,ce11->dm6,pr_auc,worse_count,-1
cdan,ce11->dm6,roc_auc,worse_count,-1
dan,dm6->ce11,accuracy,worse_count,-2
dan,dm6->ce11,pr_auc,worse_count,-2
dan,dm6->ce11,roc_auc,worse_count,-2
dan,ce11->dm6,accuracy,worse_count,-1
dan,ce11->dm6,pr_auc,worse_count,-1
dan,ce11->dm6,roc_auc,worse_count,0
dann,dm6->ce11,accuracy,worse_count,-2
dann,dm6->ce11,pr_auc,worse_count,-2
dann,dm6->ce11,roc_auc,worse_count,-2
dann,ce11->dm6,accuracy,worse_count,-2
dann,ce11->dm6,pr_auc,worse_count,-2
dann,ce11->dm6,roc_auc,worse_count,-2
jan,dm6->ce11,accuracy,worse_count,-2
jan,dm6->ce11,pr_auc,worse_count,-2
jan,dm6->ce11,roc_auc,worse_count,-2
jan,ce11->dm6,accuracy,worse_count,-1
jan,ce11->dm6,pr_auc,worse_count,-1
jan,ce11->dm6,roc_auc,worse_count,0
mcc,dm6->ce11,accuracy,worse_count,-1
mcc,dm6->ce11,pr_auc,worse_count,-1
mcc,dm6->ce11,roc_auc,worse_count,-2
mcc,ce11->dm6,accuracy,worse_count,0
mcc,ce11->dm6,pr_auc,worse_count,-1
mcc,ce11->dm6,roc_auc,worse_count,0
mcd,dm6->ce11,accuracy,worse_count,-1
mcd,dm6->ce11,pr_auc,worse_count,0
mcd,dm6->ce11,roc_auc,worse_count,0
mcd,ce11->dm6,accuracy,worse_count,0
mcd,ce11->dm6,pr_auc,worse_count,0
mcd,ce11->dm6,roc_auc,worse_count,0
mdd,dm6->ce11,accuracy,worse_count,-2
mdd,dm6->ce11,pr_auc,worse_count,-2
mdd,dm6->ce11,roc_auc,worse_count,-2
mdd,ce11->dm6,accuracy,worse_count,-1
mdd,ce11->dm6,pr_auc,worse_count,-1
mdd,ce11->dm6,roc_auc,worse_count,0
